docid|entityid|type
0|Early Phase Clinical Trial|Topic
0|Peter F. Thall|Author
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper
1|Tianyu Zhan|Author
1|Yiwang Zhou|Author
1|Ziqian Geng|Author
1|Yihua Gu|Author
1|Jian Kang|Author
1|Li Wang|Author
1|Xiaohong Huang|Author
1|Elizabeth H. Slate|Author
2|Pilot Studies Of Structured Treatment Interruptions In Hiv Therapy|Topic
2|Hiv Therapy|Topic
2|Virologic Failure|Topic
2|Novel Hypothesis|Topic
2|Mathematical Model Of Hiv Within-Host Viral Dynamics|Topic
2|Nonlinear Parametric Resonance|Topic
2|Clinical Trial Data|Topic
2|Patient-Specific Resonant Spectra|Topic
2|Immunologic And Virologic Parameters|Topic
2|Romulus Breban|Author
2|Sally Blower|Author
3|Preventive Vaccines|Topic
3|Hiv|Topic
3|Immune Response Markers|Topic
3|Two-Phase Sampling|Topic
3|Txshift R Package|Topic
3|Nima S. Hejazi|Author
3|Mark J. Van Der Laan|Author
3|Holly E. Janes|Author
3|Peter B. Gilbert|Author
3|David C. Benkeser|Author
4|Phase 1-2 Designs|Topic
4|Dose Finding|Topic
4|Clinical Response|Topic
4|Toxicity|Topic
4|Generalized Phase 1-2 Design|Topic
4|Candidate Doses|Topic
4|Long-Term Success Rate|Topic
4|Biological Outcome|Topic
4|Pharmacodynamic Activity|Topic
4|Immunological Effect|Topic
4|Tumor Response|Topic
4|Survival Time|Topic
4|Multivariate Dose-Outcome Models|Topic
4|Bayesian Model Selection|Topic
4|Therapeutically Optimal Dose|Topic
4|Restricted Mean Survival Time|Topic
4|Cheng-Han Yang|Author
4|Peter F. Thall|Author
4|Ruitao Lin|Author
4|Demo|Paper
5|Align|Topic
5|Nabeel Seedat|Author
5|Caterina Tozzi|Author
5|Andrea Hita Ardiaca|Author
5|Mihaela Van Der Schaar|Author
5|James Weatherall|Author
5|Adam Taylor|Author
5|Medical Coding|Topic
5|Clinical Trial Data|Topic
5|Interoperability Challenges|Topic
5|Large Language Models|Topic
5|Anatomical Therapeutic Chemical|Topic
5|Medical Dictionary For Regulatory Activities|Topic
6|Ross M. Kedl|Author
6|Sars-Cov2|Topic
6|Moderna Phase Iii Clinical Trial|Topic
6|Covid-19 Vaccine Trial|Topic
6|Longitudinal Evaluation Of T And B Cell Immunity|Topic
6|An Immunological Autobiography|Paper
7|Sleep Monitoring Algorithm|Topic
7|Hao He|Author
7|Chao Li|Author
7|Wolfgang Ganglberger|Author
7|Kaileigh Gallagher|Author
7|Rumen Hristov|Author
7|Michail Ouroutzoglou|Author
7|Haoqi Sun|Author
7|Jimeng Sun|Author
7|Brandon Westover|Author
7|Dina Katabi|Author
8|Vaccine Efficacy Estimands|Topic
8|Immunological Effects|Topic
8|Behavioral Effects|Topic
8|Mats Stensrud|Author
8|Daniel Nevo|Author
8|Uri Obolski|Author
8|Influenza Vaccine Trial|Topic
8|Belief Variable|Topic
8|Blinding Assessment|Topic
8|Vaccine Trials|Topic
9|Panacea|Topic
9|Trialalign|Topic
9|Trialinstruct|Topic
9|Trialpanorama|Topic
9|Jiacheng Lin|Author
9|Hanwen Xu|Author
9|Zifeng Wang|Author
9|Sheng Wang|Author
9|Jimeng Sun|Author
10|Immune Correlates Of Protection|Topic
10|Correlates Of Risk|Topic
10|Controlled Vaccine Efficacy Curve|Topic
10|Controlled-Risk Curve|Topic
10|50% Neutralizing Antibody Titer|Topic
10|Virologically Confirmed Dengue|Topic
10|Peter B. Gilbert|Author
10|Youyi Fong|Author
10|Marco Carone|Author
10|Cyd14|Paper
10|Cyd15|Paper
11|Rank-Based Identification Of High-Dimensional Surrogate Markers: Application To Vaccinology|Paper
12|Trial2Vec|Topic
12|Zifeng Wang|Author
12|Jimeng Sun|Author
12|Clinical Trials|Topic
12|Umls Knowledge Base|Topic
13|Spot|Topic
13|Zifeng Wang|Author
13|Cao Xiao|Author
13|Jimeng Sun|Author
13|Clinical Trials|Topic
14|Matrix-Valued Time-Series Data Clustering|Topic
14|Low-Dimensional Embedding|Topic
14|Static Clinical Covariates|Topic
14|High-Dimensional Longitudinal Features|Topic
14|Sparse And Irregular Nature Of Sample Collection|Topic
14|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper
14|Immunological Data Set From Patients With Sars-Cov-2 Infection|Topic
14|Intensive Simulations|Topic
15|World Health Organization|Topic
15|Hiv Treatment|Topic
15|Resource-Limited Settings|Topic
15|Clinical And Immunological Markers|Topic
15|Cd4 Cell Counts|Topic
15|Viral Load|Topic
15|Diagnostic Algorithm|Topic
15|Miriam Hospital Immunology Clinic|Topic
15|Tao Liu|Author
15|Joseph W. Hogan|Author
15|Lisa Wang|Author
15|Shangxuan Zhang|Author
15|Rami Kantor|Author
16|Clinical Trial Outcome (Cto) Knowledge Base|Topic
16|Chufan Gao|Author
16|Jathurshan Pradeepkumar|Author
16|Trisha Das|Author
16|Shivashankar Thati|Author
