docid|source|sourcetype|target|targettype|type
0|Early Phase Clinical Trial|Topic|Phase I Trials|Topic|RELATED_TO
0|Phase I Trials|Topic|Cytotoxic Agents|Topic|RELATED_TO
0|Bayesian Early Phase Trial Designs|Topic|Peter F. Thall|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Tianyu Zhan|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yiwang Zhou|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Ziqian Geng|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yihua Gu|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Jian Kang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Li Wang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Xiaohong Huang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Elizabeth H. Slate|Author|AUTHORED
2|Pilot Studies Of Structured Treatment Interruptions (Sti) In Hiv Therapy|Topic|Hiv Therapy|Topic|RELATED_TO
2|Hiv Therapy|Topic|Virologic Failure|Topic|RELATED_TO
2|Novel Hypothesis|Topic|Virologic Failure|Topic|RELATED_TO
2|Mathematical Model Of Hiv Within-Host Viral Dynamics|Topic|Nonlinear Parametric Resonance|Topic|RELATED_TO
2|Nonlinear Parametric Resonance|Topic|Virologic Failure|Topic|RELATED_TO
2|Clinical Trial Data|Topic|Patient-Specific Resonant Spectra|Topic|RELATED_TO
2|Heterogeneity Of Patient Response|Topic|Virologic Failure|Topic|RELATED_TO
2|Immunologic And Virologic Parameters|Topic|Patient-Specific Resonant Spectra|Topic|RELATED_TO
2|Romulus Breban|Author|Pilot Studies Of Structured Treatment Interruptions (Sti) In Hiv Therapy|Topic|AUTHORED
2|Sally Blower|Author|Pilot Studies Of Structured Treatment Interruptions (Sti) In Hiv Therapy|Topic|AUTHORED
3|Preventive Vaccines|Topic|Hiv|Topic|RELATED_TO
3|Hiv|Topic|Immune Response Markers|Topic|RELATED_TO
3|Immune Response Markers|Topic|Two-Phase Sampling|Topic|RELATED_TO
3|Two-Phase Sampling|Topic|Nonparametric Methodology|Topic|RELATED_TO
3|Nonparametric Methodology|Topic|Txshift R Package|Topic|RELATED_TO
3|Txshift R Package|Topic|Nima S. Hejazi|Author|AUTHORED
3|Txshift R Package|Topic|Mark J. Van Der Laan|Author|AUTHORED
3|Txshift R Package|Topic|Holly E. Janes|Author|AUTHORED
3|Txshift R Package|Topic|Peter B. Gilbert|Author|AUTHORED
3|Txshift R Package|Topic|David C. Benkeser|Author|AUTHORED
4|Phase 1-2 Designs|Topic|Generalized Phase 1-2 Design|Topic|RELATED_TO
4|Generalized Phase 1-2 Design|Topic|Biological Outcome|Topic|RELATED_TO
4|Biological Outcome|Topic|Therapeutically Optimal Dose|Topic|RELATED_TO
4|Demo|Paper|Cheng-Han Yang|Author|AUTHORED
4|Demo|Paper|Peter F. Thall|Author|AUTHORED
4|Demo|Paper|Ruitao Lin|Author|AUTHORED
5|Align|Topic|Large Language Models|Topic|RELATED_TO
5|Align|Topic|Anatomical Therapeutic Chemical|Topic|RELATED_TO
5|Align|Topic|Medical Dictionary For Regulatory Activities|Topic|RELATED_TO
5|Align|Topic|Clinical Trial Data|Topic|RELATED_TO
5|Align|Topic|Drug Development|Topic|RELATED_TO
5|Nabeel Seedat|Author|Align|Topic|AUTHORED
5|Caterina Tozzi|Author|Align|Topic|AUTHORED
5|Andrea Hita Ardiaca|Author|Align|Topic|AUTHORED
