docid|entityid|type
0|Early Phase Clinical Trial|Topic
0|Peter F. Thall|Author
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper
1|Tianyu Zhan|Author
1|Yiwang Zhou|Author
1|Ziqian Geng|Author
1|Yihua Gu|Author
1|Jian Kang|Author
1|Li Wang|Author
1|Xiaohong Huang|Author
1|Elizabeth H. Slate|Author
2|Pilot Studies Of Structured Treatment Interruptions In Hiv Therapy|Topic
2|Hiv Therapy|Topic
2|Virologic Failure|Topic
2|Novel Hypothesis|Topic
2|Mathematical Model Of Hiv Within-Host Viral Dynamics|Topic
2|Nonlinear Parametric Resonance|Topic
2|Clinical Trial Data|Topic
2|Patient-Specific Resonant Spectra|Topic
2|Immunologic And Virologic Parameters|Topic
2|Romulus Breban|Author
2|Sally Blower|Author
3|Preventive Vaccines|Topic
3|Hiv|Topic
3|Immune Response Markers|Topic
3|Two-Phase Sampling|Topic
3|Txshift R Package|Topic
3|Nima S. Hejazi|Author
3|Mark J. Van Der Laan|Author
3|Holly E. Janes|Author
3|Peter B. Gilbert|Author
3|David C. Benkeser|Author
4|Phase 1-2 Designs|Topic
4|Dose Finding|Topic
4|Clinical Response|Topic
4|Toxicity|Topic
4|Optimal Dose|Topic
4|Generalized Phase 1-2 Design|Topic
4|Candidate Doses|Topic
4|Patients|Topic
4|Long-Term Success Rate|Topic
4|Biological Outcome|Topic
4|Pharmacodynamic Activity|Topic
4|Immunological Effect|Topic
4|Tumor Response|Topic
4|Survival Time|Topic
4|Multivariate Dose-Outcome Models|Topic
4|Bayesian Model Selection|Topic
4|Therapeutically Optimal Dose|Topic
4|Restricted Mean Survival Time|Topic
4|Simulation Study|Topic
4|Cheng-Han Yang|Author
4|Peter F. Thall|Author
4|Ruitao Lin|Author
4|Demo|Paper
5|Randomized Controlled Trials|Topic
5|Intercurrent Events|Topic
5|Immunology Trials|Topic
5|Treatment-Related Intercurrent Events|Topic
5|Treatment-Unrelated Intercurrent Events|Topic
5|Composite Variable Strategy|Topic
5|Hypothetical Strategy|Topic
5|Causal Estimand|Topic
5|Doubly Robust Estimators|Topic
5|Baricitinib|Topic
5|Systemic Lupus Erythematosus|Topic
5|Sizhu Lu|Author
5|Yanyao Yi|Author
5|Yongming Qu|Author
5|Huayu Karen Liu|Author
5|Ting Ye|Author
5|Peng Ding|Author
6|Align|Topic
6|Large Language Models|Topic
6|Anatomical Therapeutic Chemical|Topic
6|Medical Dictionary For Regulatory Activities|Topic
6|Nabeel Seedat|Author
6|Caterina Tozzi|Author
6|Andrea Hita Ardiaca|Author
6|Mihaela Van Der Schaar|Author
6|James Weatherall|Author
6|Adam Taylor|Author
7|Ross M. Kedl|Author
7|Sars-Cov2|Topic
7|Moderna Phase Iii Clinical Trial|Topic
7|Covid-19 Vaccine Trial|Topic
7|Longitudinal Evaluation Of T And B Cell Immunity|Topic
7|An Immunological Autobiography|Paper
8|Sleep Monitoring Algorithm|Topic
8|Hao He|Author
8|Chao Li|Author
8|Wolfgang Ganglberger|Author
8|Kaileigh Gallagher|Author
8|Rumen Hristov|Author
8|Michail Ouroutzoglou|Author
8|Haoqi Sun|Author
8|Jimeng Sun|Author
8|Brandon Westover|Author
8|Dina Katabi|Author
9|Vaccine Efficacy Estimands|Topic
9|Immunological Effects|Topic
9|Behavioral Effects|Topic
9|Mats Stensrud|Author
9|Daniel Nevo|Author
9|Uri Obolski|Author
9|Influenza Vaccine Trial|Topic
9|Belief Variable|Topic
9|Blinding Assessment|Topic
9|Vaccine Trials|Topic
10|Panacea|Topic
10|Trialalign|Topic
10|Trialinstruct|Topic
10|Trialpanorama|Topic
10|Jiacheng Lin|Author
10|Hanwen Xu|Author
10|Zifeng Wang|Author
10|Sheng Wang|Author
10|Jimeng Sun|Author
11|Immune Correlates Of Protection|Topic
11|Correlates Of Risk|Topic
11|Controlled Vaccine Efficacy Curve|Topic
11|Controlled-Risk Curve|Topic
11|50% Neutralizing Antibody Titer|Topic
11|Virologically Confirmed Dengue|Topic
11|Peter B. Gilbert|Author
11|Youyi Fong|Author
11|Marco Carone|Author
11|Cyd14|Paper
11|Cyd15|Paper
12|Rank-Based Identification Of High-Dimensional Surrogate Markers: Application To Vaccinology|Paper
13|Trial2Vec|Topic
13|Zifeng Wang|Author
13|Jimeng Sun|Author
13|Clinical Trials|Topic
13|Umls Knowledge Base|Topic
14|Spot|Topic
14|Zifeng Wang|Author
14|Cao Xiao|Author
14|Jimeng Sun|Author
14|Clinical Trials|Topic
15|Matrix-Valued Time-Series Data Clustering|Topic
15|Low-Dimensional Embedding|Topic
15|Static Clinical Covariates|Topic
15|High-Dimensional Longitudinal Features|Topic
15|Sparse And Irregular Nature Of Sample Collection|Topic
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper
15|Immunological Data Set From Patients With Sars-Cov-2 Infection|Topic
15|Intensive Simulations|Topic
16|World Health Organization|Topic
16|Hiv Treatment|Topic
